Treatment,Dpi,Replication,Cq
Control,IL-1,1,19.72
Control,IL-1,2,19.56
Control,IL-1,3,19.98
Control,IL-4,1,17.55
Control,IL-4,2,17.48
Control,IL-4,3,17.58
Control,IL-7,1,16.31
Control,IL-7,2,16.24
Control,IL-7,3,16.19
Control,IL-10,1,15.98
Control,IL-10,2,16.05
Control,IL-10,3,16.07
Control,SL-7,1,26.03
Control,SL-7,2,26.04
Control,SL-7,3,26.21
Control,SL-10,1,26.72
Control,SL-10,2,26.78
Control,SL-10,3,26.8
P. fluorescens,IL-1,1,20.99
P. fluorescens,IL-1,2,21.04
P. fluorescens,IL-1,3,21.11
P. fluorescens,IL-4,1,23.07
P. fluorescens,IL-4,2,23.06
P. fluorescens,IL-4,3,23.07
P. fluorescens,IL-7,1,21.04
P. fluorescens,IL-7,2,21.03
P. fluorescens,IL-7,3,21.08
P. fluorescens,IL-10,1,22.96
P. fluorescens,IL-10,2,22.9
P. fluorescens,IL-10,3,23.06
P. fluorescens,SL-7,1,30.85
P. fluorescens,SL-7,2,30.61
P. fluorescens,SL-7,3,30.47
P. fluorescens,SL-10,1,28.4
P. fluorescens,SL-10,2,28.52
P. fluorescens,SL-10,3,28.67
S. marcescens,IL-1,1,21.66
S. marcescens,IL-1,2,21.71
S. marcescens,IL-1,3,21.88
S. marcescens,IL-4,1,21.1
S. marcescens,IL-4,2,21.22
S. marcescens,IL-4,3,21.72
S. marcescens,IL-7,1,19.33
S. marcescens,IL-7,2,19.16
S. marcescens,IL-7,3,19.25
S. marcescens,IL-10,1,16.72
S. marcescens,IL-10,2,16.96
S. marcescens,IL-10,3,16.89
S. marcescens,SL-7,1,30.24
S. marcescens,SL-7,2,30.23
S. marcescens,SL-7,3,30.42
S. marcescens,SL-10,1,32.34
S. marcescens,SL-10,2,32.16
S. marcescens,SL-10,3,32.31
B. amyloliquifaciens,IL-1,1,20.62
B. amyloliquifaciens,IL-1,2,20.56
B. amyloliquifaciens,IL-1,3,20.59
B. amyloliquifaciens,IL-4,1,22.07
B. amyloliquifaciens,IL-4,2,22.09
B. amyloliquifaciens,IL-4,3,22.27
B. amyloliquifaciens,IL-7,1,21.22
B. amyloliquifaciens,IL-7,2,21.36
B. amyloliquifaciens,IL-7,3,21.36
B. amyloliquifaciens,IL-10,1,20.68
B. amyloliquifaciens,IL-10,2,20.88
B. amyloliquifaciens,IL-10,3,20.9
B. amyloliquifaciens,SL-7,1,24.03
B. amyloliquifaciens,SL-7,2,23.96
B. amyloliquifaciens,SL-7,3,24.1
B. amyloliquifaciens,SL-10,1,32.29
B. amyloliquifaciens,SL-10,2,33.1
B. amyloliquifaciens,SL-10,3,33.18
B. subtilis,IL-1,1,20.21
B. subtilis,IL-1,2,20.25
B. subtilis,IL-1,3,20.24
B. subtilis,IL-4,1,22.35
B. subtilis,IL-4,2,22.46
B. subtilis,IL-4,3,22.58
B. subtilis,IL-7,1,21.68
B. subtilis,IL-7,2,21.92
B. subtilis,IL-7,3,21.2
B. subtilis,IL-10,1,21.72
B. subtilis,IL-10,2,21.59
B. subtilis,IL-10,3,21.66
B. subtilis,SL-7,1,30.88
B. subtilis,SL-7,2,30.71
B. subtilis,SL-7,3,30.6
B. subtilis,SL-10,1,30.14
B. subtilis,SL-10,2,30.14
B. subtilis,SL-10,3,29.99
